stage_id,stage,substage,q_number,q_type,question,subquestion,options_1,options_2,options_3,options_4,options_5,answer,hint
14,체르니,시,2,Translating,다음과 같은 의미의 문장을 완성하세요.,She was pleasantly surprised by how quickly she adjusted to the new job.,그녀는 ,새로운 직장에 ,얼마나 빨리 ,적응했는지에 ,기쁘게 놀랐다.,그녀는 새로운 직장에 얼마나 빨리 적응했는지에 기쁘게 놀랐다.,
14,체르니,시,3,Translating,다음과 같은 의미의 문장을 완성하세요.,이해가 안 되는 부분이 있으면 주저하지 말고 도움을 요청하라.,If you ,don't understand ,"something, ",don't hesitate ,to ask for help.,"If you don't understand something, don't hesitate to ask for help.",
14,체르니,시,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,sculpture,sculpture,sun,일몰,,,sculpture,조각품
14,체르니,시,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,He completed the marathon despite facing several challenges along the way.,He completed ,the marathon ,despite facing ,several challenges ,along the way.,He completed the marathon despite facing several challenges along the way.,그는 도중에 몇 가지 어려움을 겪었음에도 불구하고 마라톤을 완주했다.
14,체르니,시,6,Reading,다음 문장을 읽어보세요.,They were surprised to discover how much the neighborhood had changed.,,,,,,,그들은 동네가 얼마나 변했는지 알고 놀랐다.
15,클래식,도,1,Voca,그림의 의미와 가장 가까운 단어는?,demolition,demolition,democratic,demon,,,demolition,"파괴, 철거"
15,클래식,도,2,Translating,다음과 같은 의미의 문장을 완성하세요.,The old building was demolished after it was damaged in the earthquake.,그 오래된 ,건물은 ,지진으로 인해 ,파손된 후 ,철거되었다.,그 오래된 건물은 지진으로 인해 파손된 후 철거되었다.,
15,클래식,도,3,Translating,다음과 같은 의미의 문장을 완성하세요.,공무원들은 그 건물을 죽음의 함정이라 묘사하고 철거를 명령했다.,Officials ,described the building ,as a deathtrap ,and ordered it ,to be demolished.,Officials described the building as a deathtrap and ordered it to be demolished.,
15,클래식,도,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,discussion,discussion,nut,마술,,,discussion,"토론, 논의"
15,클래식,도,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,A discussion was held to decide how to promote the product.,A discussion ,was held ,to decide ,how to promote ,the product.,A discussion was held to decide how to promote the product.,그 제품을 어떻게 홍보할지 결정하기 위해 토론이 열렸다.
15,클래식,도,6,Reading,다음 문장을 읽어보세요.,We had a short discussion in the hallway.,,,,,,,우리는 복도에서 짧은 논의를 가졌다.
16,클래식,레,1,Voca,그림의 의미와 가장 가까운 단어는?,authentic,authentic,auto,fake,,,authentic,"진짜의, 확실한"
16,클래식,레,2,Translating,다음과 같은 의미의 문장을 완성하세요.,The new restaurant downtown serves authentic Mexican cuisine.,시내에 ,새로 생긴 레스토랑은 ,정통 멕시칸 요리를 ,제공한다.,,시내에 새로 생긴 레스토랑은 정통 멕시칸 요리를 제공한다.,
16,클래식,레,3,Translating,다음과 같은 의미의 문장을 완성하세요.,그 그림이 진품인지 모르겠다.,I don’t know ,if ,the painting ,is authentic.,,I don’t know if the painting is authentic.,
16,클래식,레,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,fabric,fabric,공감,부엌,,,fabric,"섬유, 원단"
16,클래식,레,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,The manufacturer's garments are made of natural fabric only.,The manufacturer's ,garments ,are made ,of ,natural fabric only.,The manufacturer's garments are made of natural fabric only.,그 제조업체의 의류는 천연 원단으로만 만들어졌다.
16,클래식,레,6,Reading,다음 문장을 읽어보세요.,The shoes are made from water-resistant fabric.,,,,,,,그 신발은 방수 원단으로 만들어졌다.
17,클래식,미,1,Voca,그림의 의미와 가장 가까운 단어는?,replacement,replacement,reuse,return,,,replacement,"교체, 후임자"
17,클래식,미,2,Translating,다음과 같은 의미의 문장을 완성하세요.,We need the replacement for this broken laptop.,이 고장난 ,노트북의 ,교체가 ,필요하다.,,이 고장난 노트북의 교체가 필요하다.,
17,클래식,미,3,Translating,다음과 같은 의미의 문장을 완성하세요.,인사부에서 윈터 씨의 후임자를 찾고 있다.,Human ,resources ,is looking for ,a replacement ,for Mr.Winter.,Human resources is looking for a replacement for Mr.Winter.,
17,클래식,미,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,sip,sip,snow,바람,,,sip,"홀짝이다, 조금씩 마시다"
17,클래식,미,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,Sip your beverages at the cafe's new outdoor area!,Sip ,your beverages ,at ,the cafe's new ,outdoor area!,Sip your beverages at the cafe's new outdoor area!,카페의 새로운 야외 공간에서 음료를 즐겨보세요!
17,클래식,미,6,Reading,다음 문장을 읽어보세요.,"She sat there, sipping at her tea.",,,,,,,그녀는 거기 앉아서 차를 홀짝거리고 있었다.
18,클래식,파,1,Voca,그림의 의미와 가장 가까운 단어는?,emphasis,emphasis,embrace,empty,,,emphasis,강조
18,클래식,파,2,Translating,다음과 같은 의미의 문장을 완성하세요.,He put emphasis on equality in his speech.,그는 연설에서 ,평등을 ,강조했다.,,,그는 연설에서 평등을 강조했다.,
18,클래식,파,3,Translating,다음과 같은 의미의 문장을 완성하세요.,우리 회사는 팀의 화합을 매우 중요시한다.,Our company ,puts ,a lot of emphasis ,on ,team harmony.,Our company puts a lot of emphasis on team harmony.,
18,클래식,파,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,dismiss,dismiss,pen,조각상,,,dismiss,"해고하다, 해산시키다"
18,클래식,파,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,I was dismissed from my job today.,I was ,dismissed ,from ,my job ,today.,I was dismissed from my job today.,나는 오늘 직장에서 해고되었다.
18,클래식,파,6,Reading,다음 문장을 읽어보세요.,It is likely that the only reasonable course of action in this case is to dismiss the president.,,,,,,,이 경우에 취할 수 있는 유일한 합리적 조치는 사장을 해임하는 것일 것이다.
19,클래식,솔,1,Voca,그림의 의미와 가장 가까운 단어는?,purify,purify,put,praise,,,purify,"정화하다, 정제하다"
19,클래식,솔,2,Translating,다음과 같은 의미의 문장을 완성하세요.,We have a filter that purifies our drinking water.,우리는 ,식수를 ,정화하는 ,필터를 ,가지고 있다.,우리는 식수를 정화하는 필터를 가지고 있다.,
19,클래식,솔,3,Translating,다음과 같은 의미의 문장을 완성하세요.,"먼저, 액체를 정제한다.","First, ",purify ,the ,liquid.,,"First, purify the liquid.",
19,클래식,솔,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,symptom,symptom,책상,마켓,,,symptom,증상
19,클래식,솔,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,A runny nose is a common symptom of a cold.,A runny nose ,is a ,common ,symptom ,of a cold.,A runny nose is a common symptom of a cold.,콧물은 감기의 흔한 증상이다.
19,클래식,솔,6,Reading,다음 문장을 읽어보세요.,"If the symptoms persist, you should see a doctor.",,,,,,,증상이 지속된다면 의사의 진찰을 받아야 한다.
20,클래식,라,1,Voca,그림의 의미와 가장 가까운 단어는?,consecutive,consecutive,constructure,concentrate,,,consecutive,연속적인
20,클래식,라,2,Translating,다음과 같은 의미의 문장을 완성하세요.,Retail sales rose for the fifth consecutive month.,소매 ,판매량은 ,다섯 달 연속으로 ,증가했다.,,소매 판매량은 다섯 달 연속으로 증가했다.,
20,클래식,라,3,Translating,다음과 같은 의미의 문장을 완성하세요.,레알 마드리드는 3번의 연이은 시즌 동안 UEFA 챔피언스 리그를 우승했다.,Real Madrid ,won ,the UEFA Champions League ,for three ,consecutive seasons.,Real Madrid won the UEFA Champions League for three consecutive seasons.,
20,클래식,라,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,expectation,expectation,rain,objection,,,expectation,"기대, 예상"
20,클래식,라,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,My boss has unreasonable expectations.,My boss ,has ,unreasonable ,expectations.,,My boss has unreasonable expectations.,내 상사는 지나친 기대를 하고 있다.
20,클래식,라,6,Reading,다음 문장을 읽어보세요.,My parents had quite a lot of expectations of me.,,,,,,,부모님은 나에게 꽤 많은 기대를 하고 있었다.
21,클래식,시,1,Voca,그림의 의미와 가장 가까운 단어는?,objection,objection,observation,obsolete,,,objection,"반대, 이의"
21,클래식,시,2,Translating,다음과 같은 의미의 문장을 완성하세요.,I want to make an objection.,나는 ,이의를 ,제기하고 싶다.,,,나는 이의를 제기하고 싶다.,
21,클래식,시,3,Translating,다음과 같은 의미의 문장을 완성하세요.,그는 그녀의 계획에 몇 가지 반대 의견을 가졌다.,He ,had ,some objections ,to ,her plan.,He had some objections to her plan.,
21,클래식,시,4,Listening,단어를 듣고 어울리는 그림을 고르세요.,merge,merge,compass,편지,,,merge,합병하다
21,클래식,시,5,Listening,문장을 듣고 순서에 맞게 나열하세요.,I heard a rumor that we are going to merge with another company.,I heard ,a rumor that ,we are going to ,merge with ,another company.,I heard a rumor that we are going to merge with another company.,나는 우리가 다른 회사와 합병할 거라는 소문을 들었다.
21,클래식,시,6,Reading,다음 문장을 읽어보세요.,The colors of the sunset merged together in a beautiful display.,,,,,,,석양의 색이 어우러져 아름다운 풍경을 연출했다.
